zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
85003,33.45076,-112.07836,Phoenix,AZ,Arizona,TRUE,,8419,1953.9,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85004,33.45156,-112.06986,Phoenix,AZ,Arizona,TRUE,,6552,939.7,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85006,33.46516,-112.04789,Phoenix,AZ,Arizona,TRUE,,28176,2546.1,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85007,33.44713,-112.0912,Phoenix,AZ,Arizona,TRUE,,14751,1187.1,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85008,33.46331,-111.98676,Phoenix,AZ,Arizona,TRUE,,62992,2069.8,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85009,33.44282,-112.12823,Phoenix,AZ,Arizona,TRUE,,49536,1298.1,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85012,33.50731,-112.07035,Phoenix,AZ,Arizona,TRUE,,7012,1124.4,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85013,33.51007,-112.08287,Phoenix,AZ,Arizona,TRUE,,20902,2005.9,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85014,33.50855,-112.05675,Phoenix,AZ,Arizona,TRUE,,27395,2289.3,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85015,33.50917,-112.10179,Phoenix,AZ,Arizona,TRUE,,39866,2976.6,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85016,33.51359,-112.02967,Phoenix,AZ,Arizona,TRUE,,35167,1449,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85017,33.50909,-112.1237,Phoenix,AZ,Arizona,TRUE,,41993,2862.9,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85018,33.50536,-111.98577,Phoenix,AZ,Arizona,TRUE,,38833,1252.2,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85019,33.50918,-112.14299,Phoenix,AZ,Arizona,TRUE,,26659,2578.3,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85020,33.56733,-112.05461,Phoenix,AZ,Arizona,TRUE,,34782,1426.6,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85021,33.55998,-112.09398,Phoenix,AZ,Arizona,TRUE,,42002,2166.7,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85022,33.62713,-112.05181,Phoenix,AZ,Arizona,TRUE,,51426,1915.3,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85023,33.63154,-112.09466,Phoenix,AZ,Arizona,TRUE,,34488,1653.3,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
85024,33.73546,-112.03346,Phoenix,AZ,Arizona,TRUE,,24675,313.8,4013,Maricopa,{'04013':100},Maricopa,4013,FALSE,FALSE,America/Phoenix
