address,sold_price,bathroom_ct,bedroom_ct,home_sqft,sold_date,image_url,lat,lng,home_type,year_built,heating_type,parking_info,lot_sqft,zipcode
"515 W Portland St, Phoenix, AZ 85003",617700.0,2.5,3.0,2422.0,11/20/2020,https://photos.zillowstatic.com/fp/3ae6d7488a3226bd02c640f7cc86ec68-p_e.jpg,33.450759999999995,-112.07836,,,,,,85003
"52 W Lewis Ave, Phoenix, AZ 85003",585000.0,2.0,3.0,1666.0,11/16/2020,https://photos.zillowstatic.com/fp/0380d64fe384b3ae2f28b0ba1264a945-p_e.jpg,33.450759999999995,-112.07836,,,,,,85003
"84 W Lewis Ave, Phoenix, AZ 85003",575000.0,2.0,2.0,2204.0,11/13/2020,https://photos.zillowstatic.com/fp/f561c7933373bad5c2685a4fc1504741-p_e.jpg,33.450759999999995,-112.07836,,,,,,85003
"70 W Encanto Blvd, Phoenix, AZ 85003",789000.0,2.5,3.0,1930.0,11/13/2020,https://photos.zillowstatic.com/fp/53cd59145a8a5aded8fa4104468d8d45-p_e.jpg,33.450759999999995,-112.07836,,,,,,85003
"387 N 2nd Ave UNIT 2I, Phoenix, AZ 85003",359000.0,2.5,2.0,1310.0,11/13/2020,https://photos.zillowstatic.com/fp/1857919a8e4d4c8e46c6456da169952c-p_e.jpg,33.450759999999995,-112.07836,,,,,,85003
"10 W Palm Ln, Phoenix, AZ 85003",955000.0,4.5,3.0,5192.0,11/13/2020,https://photos.zillowstatic.com/p_e/IS7218afuo41p51000000000.jpg,33.450759999999995,-112.07836,,,,,,85003
"96 W Lewis Ave, Phoenix, AZ 85003",475000.0,2.0,2.0,1311.0,11/12/2020,,33.450759999999995,-112.07836,,,,,,85003
"48 W Holly St, Phoenix, AZ 85003",440000.0,1.0,2.0,1633.0,11/12/2020,,33.450759999999995,-112.07836,,,,,,85003
"200 W Portland St #815, Phoenix, AZ 85003",349000.0,1.0,1.0,818.0,11/12/2020,,33.450759999999995,-112.07836,,,,,,85003
"16 W Encanto Blvd UNIT 311, Phoenix, AZ 85003",225000.0,1.0,1.0,845.0,11/3/2020,,33.450759999999995,-112.07836,,,,,,85003
"29 W Wilshire Dr, Phoenix, AZ 85003",519215.0,2.0,3.0,1418.0,11/2/2020,,33.450759999999995,-112.07836,,,,,,85003
"114 W Adams St UNIT 701, Phoenix, AZ 85003",225000.0,1.0,1.0,837.0,11/1/2020,,33.450759999999995,-112.07836,,,,,,85003
"16 W Encanto Blvd UNIT 106, Phoenix, AZ 85003",322000.0,2.5,2.0,1687.0,10/30/2020,,33.450759999999995,-112.07836,,,,,,85003
"311 W Lynwood St, Phoenix, AZ 85003",750000.0,3.0,3.0,2331.0,10/30/2020,,33.450759999999995,-112.07836,,,,,,85003
"805 N 4th Ave UNIT 1006, Phoenix, AZ 85003",246000.0,1.0,1.0,720.0,10/29/2020,,33.450759999999995,-112.07836,,,,,,85003
"808 N 4th Ave #4, Phoenix, AZ 85003",636000.0,3.5,2.0,2132.0,10/26/2020,,33.450759999999995,-112.07836,,,,,,85003
"85 W Willetta St, Phoenix, AZ 85003",700000.0,0.0,1.0,3692.0,10/23/2020,,33.450759999999995,-112.07836,,,,,,85003
"620 N 4th Ave APT 10, Phoenix, AZ 85003",319000.0,1.5,2.0,1260.0,10/23/2020,,33.450759999999995,-112.07836,,,,,,85003
"312 W Cambridge Ave, Phoenix, AZ 85003",485000.0,2.0,3.0,1948.0,10/20/2020,,33.450759999999995,-112.07836,,,,,,85003
"808 N 4th Ave UNIT 15, Phoenix, AZ 85003",475000.0,3.0,2.0,1770.0,10/9/2020,,33.450759999999995,-112.07836,,,,,,85003
"42 W Cambridge Ave, Phoenix, AZ 85003",390000.0,2.5,3.0,1578.0,10/8/2020,,33.450759999999995,-112.07836,,,,,,85003
"45 W Lewis Ave, Phoenix, AZ 85003",629900.0,2.0,4.0,1412.0,10/8/2020,,33.450759999999995,-112.07836,,,,,,85003
"107 W Windsor Ave, Phoenix, AZ 85003",539000.0,1.75,3.0,2069.0,10/5/2020,,33.450759999999995,-112.07836,,,,,,85003
"318 W Windsor Ave, Phoenix, AZ 85003",570000.0,2.0,3.0,1413.0,10/2/2020,,33.450759999999995,-112.07836,,,,,,85003
"531 W Wilshire Dr, Phoenix, AZ 85003",625000.0,2.0,3.0,1264.0,10/2/2020,,33.450759999999995,-112.07836,,,,,,85003
"133 W Palm Ln, Phoenix, AZ 85003",535000.0,2.0,2.0,1242.0,10/2/2020,,33.450759999999995,-112.07836,,,,,,85003
"327 W Latham St, Phoenix, AZ 85003",320000.0,1.0,0.0,1480.0,9/30/2020,,33.450759999999995,-112.07836,,,,,,85003
"332 W Virginia Ave, Phoenix, AZ 85003",535000.0,2.0,3.0,1312.0,9/30/2020,,33.450759999999995,-112.07836,,,,,,85003
"101 W Granada Rd, Phoenix, AZ 85003",620500.0,2.0,3.0,2142.0,9/29/2020,,33.450759999999995,-112.07836,,,,,,85003
"115 W Granada Rd, Phoenix, AZ 85003",550000.0,2.0,2.0,1383.0,9/25/2020,,33.450759999999995,-112.07836,,,,,,85003
"61 W Virginia Ave, Phoenix, AZ 85003",454700.0,2.0,3.0,1375.0,9/25/2020,,33.450759999999995,-112.07836,,,,,,85003
"16 W Encanto Blvd UNIT 604, Phoenix, AZ 85003",335000.0,2.0,2.0,1428.0,9/22/2020,,33.450759999999995,-112.07836,,,,,,85003
"518 W Palm Ln, Phoenix, AZ 85003",624500.0,2.0,3.0,1817.0,9/22/2020,,33.450759999999995,-112.07836,,,,,,85003
"534 W Culver St, Phoenix, AZ 85003",460000.0,1.0,2.0,1119.0,9/21/2020,https://photos.zillowstatic.com/fp/338c0f1d38af5953173888f1e87afbe3-p_e.jpg,33.450759999999995,-112.07836,,,,,,85003
"620 W Apache St, Phoenix, AZ 85003",310000.0,0.0,1.0,3216.0,9/21/2020,https://photos.zillowstatic.com/fp/d224c3067ba9a056628e98f71033152d-p_e.jpg,33.450759999999995,-112.07836,,,,,,85003
"909 S 4th Ave, Phoenix, AZ 85003",68000.0,1.0,0.0,756.0,9/21/2020,,33.450759999999995,-112.07836,,,,,,85003
"1024 S 4th Ave, Phoenix, AZ 85003",70000.0,0.0,1.0,2024.0,9/21/2020,https://photos.zillowstatic.com/fp/7cc6d95d896fab0de93c2c32094441d6-p_e.jpg,33.450759999999995,-112.07836,,,,,,85003
"614 W Apache St, Phoenix, AZ 85003",310000.0,1.0,2.0,3216.0,9/21/2020,https://photos.zillowstatic.com/fp/4058424e07bdca8680005ec168ce728f-p_e.jpg,33.450759999999995,-112.07836,,,,,,85003
"114 W Adams St, Phoenix, AZ 85003",440000.0,2.0,2.0,2592.0,9/18/2020,https://photos.zillowstatic.com/fp/d4cc6ed11d475d05317b68a4cc32f95b-p_e.jpg,33.450759999999995,-112.07836,,,,,,85003
